1	ig_00cad8fe93c85837016a353f985a08819186778cffc7b4fa37	01-desktop-ig_00cad8fe93c85837016a353f985a08819186778cffc7b4fa37.png	Use case: ui-mockup. Create a high-fidelity desktop SaaS login screen for BotJob, a private application for creating ATS resumes, cover letters, outreach messages and tracking job applications. Straight-on full-screen product screenshot, landscape 2048x1440, n
2	ig_00cad8fe93c85837016a353fdaca588191bec1748ad5878c07	02-mobile-ig_00cad8fe93c85837016a353fdaca588191bec1748ad5878c07.png	Use case: ui-mockup. Create a high-fidelity mobile SaaS login screen for BotJob, a private job-application product. Straight-on portrait app screen, 1088x2304, no phone frame. Use the same Professional Intelligence Command Center direction: sophisticated carbo
3	ig_00cad8fe93c85837016a35400f7c1c819198cd2b124b853fc5	03-desktop-ig_00cad8fe93c85837016a35400f7c1c819198cd2b124b853fc5.png	Use case: ui-mockup. Create a high-fidelity desktop registration screen for BotJob, straight-on full-screen landscape 2048x1440, no browser chrome. Professional Intelligence Command Center direction: carbon #0D0F12 background, graphite #15191F/#1C2129 surfaces
4	ig_00cad8fe93c85837016a354067bfe4819180fdd02285c19e44	04-mobile-ig_00cad8fe93c85837016a354067bfe4819180fdd02285c19e44.png	Use case: ui-mockup. Create a high-fidelity mobile registration screen for BotJob, portrait 1088x2304, straight-on, no phone frame. Professional Intelligence Command Center art direction: carbon #0D0F12, graphite #15191F/#1C2129, thin borders #2A3039, ivory te
5	ig_00cad8fe93c85837016a3540b409ac8191861295cd4290a364	05-desktop-ig_00cad8fe93c85837016a3540b409ac8191861295cd4290a364.png	Use case: ui-mockup. Create BotJob's high-fidelity desktop email verification screen using a code entered on the website, not an email confirmation link. Straight-on landscape 2048x1440, no browser chrome. Same Professional Intelligence Command Center art dire
6	ig_00cad8fe93c85837016a3540f440d88191b1f49c1c956cdd9f	06-mobile-ig_00cad8fe93c85837016a3540f440d88191b1f49c1c956cdd9f.png	Use case: ui-mockup. Create BotJob's high-fidelity mobile email verification screen based on entering a six-digit code. Portrait 1088x2304, straight-on, no phone frame. Professional Intelligence Command Center style: carbon #0D0F12, graphite #15191F/#1C2129, t
7	ig_00cad8fe93c85837016a3541272a448191b5a2d311c4c4ffd0	07-desktop-ig_00cad8fe93c85837016a3541272a448191b5a2d311c4c4ffd0.png	Use case: ui-mockup. Create BotJob's high-fidelity desktop forgot-password request screen, straight-on landscape 2048x1440, no browser chrome. Same premium dark Professional Intelligence Command Center style: carbon background, graphite focused form, electric
8	ig_00cad8fe93c85837016a35416bcfd48191a29b87bd041aa280	08-mobile-ig_00cad8fe93c85837016a35416bcfd48191a29b87bd041aa280.png	Use case: ui-mockup. Create BotJob's high-fidelity mobile forgot-password page, portrait 1088x2304, straight-on, no phone frame. Premium dark Professional Intelligence Command Center style: carbon background, graphite input, electric blue CTA, teal success, cl
9	ig_00cad8fe93c85837016a3541a4c59881919ea01a60215c1123	09-desktop-ig_00cad8fe93c85837016a3541a4c59881919ea01a60215c1123.png	Use case: ui-mockup. Create a high-fidelity desktop BotJob page for defining a new password after reset, straight-on landscape 2048x1440, no browser chrome. Professional Intelligence Command Center style: carbon and graphite, blue CTA, teal valid states, amber
10	ig_00cad8fe93c85837016a3541f8e5548191a8ea78c700580c3b	10-mobile-ig_00cad8fe93c85837016a3541f8e5548191a8ea78c700580c3b.png	Use case: ui-mockup. Create BotJob's high-fidelity mobile page for setting a new password, portrait 1088x2304, straight-on, no phone frame. Premium dark Professional Intelligence Command Center style: carbon background, graphite inputs, electric blue CTA, teal
11	ig_00cad8fe93c85837016a3542328b1481918f0491fe675a8bdf	11-desktop-ig_00cad8fe93c85837016a3542328b1481918f0491fe675a8bdf.png	Use case: ui-mockup. Create BotJob's authenticated desktop dashboard, a premium operational cockpit for creating and tracking job applications. Straight-on full-screen landscape 2048x1440, no browser chrome. Professional Intelligence Command Center direction:
